title,aspect_ratio
Star Wars: Episode VII - The Force Awakens,1.43 : 1 (IMAX 70mm and IMAX with Laser: Escape from Jakku sequence)
The Lovers,
Harry Potter and the Deathly Hallows: Part 2,1.78 : 1 (Amazon Release)
Harry Potter and the Deathly Hallows: Part 2,1.78 : 1 (Amazon Release)
"10,000 BC",2.35 : 1
Top Cat Begins,1.85 : 1
Life,2.39 : 1
Legends of Oz: Dorothy's Return,
The Missing,1.78 : 1
Unforgotten,16:9 HD
Alien: Earth,2.35 : 1
Foodfight!,1.85 : 1
Animal Kingdom: Let's Go Ape,1.85 : 1
Dragon Nest: Warriors' Dawn,
Dark Planet,
Hit the Floor,16:9 HD
The Lovers,
Black Water Transit,
A Warrior's Tail,2.39 : 1
Shaun the Sheep,1.33 : 1
Cirque du Soleil: Worlds Away,1.85 : 1
The True Story of Puss'N Boots: Part 1,
Space Dogs,
Blood Red Sky,2 : 1
Meet the Deedles,1.85 : 1
Rogue Heroes,2.20 : 1
The Bachelor,1080i (HDTV)
Bad Moms,2.39 : 1
Nerve,2.35 : 1 (Blu-ray release)
Yu-Gi-Oh! Duel Monsters,1.33 : 1
The Oogieloves in the Big Balloon Adventure,1.66 : 1
The Doombolt Chase,1.33 : 1
Dwegons and Leprechauns,1.78 : 1
Hands of Stone,2.35 : 1
Fight Valley,
Unforgettable,
Restoration,1.85 : 1
I Am Wrath,2.35 : 1
Escobar: Paradise Lost,2.35 : 1
Dragon Hunters,
Bad Moms,2.39 : 1
The Dead Zone,1.85 : 1
Winnie Mandela,
Khumba,
Chiamatemi Francesco - Il Papa della gente,2.35 : 1
Pandaemonium,
Sound of Freedom,2.39 : 1
Ghost Hunters,
The Border,
Extraordinary Attorney Woo,1080i(HDTV)
Del 1 - M�n som hatar kvinnor,16:9 HD
Battle for Incheon: Operation Chromite,2.35 : 1
Legend of Kung Fu Rabbit: Giving the Characters a Voice,
Dancin': It's on!,1.85 : 1
Drive Hard,1.78 : 1
There Goes My Baby,
Lovesick,
Housefull,
Danny Collins,2.35 : 1
"Cinco de Mayo, La Batalla",
Jungle Shuffle,
Good Intentions,
American Heist,2.40 : 1
Plastic,2.35 : 1
Gentlemen Broncos,
Kites,
Namastey London,
Yeh Jawaani Hai Deewani,
Kicks,
Wuthering Heights,
Swelter,
Code of Honor,1.78 : 1 (widescreen)
The Work and the Glory,
Alias Betty,
Outside Bet,
Black November,
Ta Ra Rum Pum,
The House of the Dead,1.85 : 1
Beyond the Lights,1.85 : 1
The Christmas Candle,1.85 : 1
Losin' It,1.85 : 1
Snow Queen,1.85 : 1
