color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
N/A,J.J. Abrams,N/A,136,131,N/A,Rob Walker,131,2068223624,Documentary,Doug Walker,Star Wars: Episode VII - The Force Awakens             ,8,143,N/A,0,N/A,http://www.imdb.com/title/tt5289954/?ref_=fn_tt_tt_1, ,English,USA,N/A,245000000,2015,12,7.1,N/A,0
Color,Peter Sohn,298,93,113,113,Jack McGraw,275,332207671,Adventure|Animation|Comedy|Family|Fantasy,A.J. Buckley,The Good Dinosaur ,62836,696,Peter Sohn,0,apatosaurus|asteroid|dinosaur|fear|river,http://www.imdb.com/title/tt1979388/?ref_=fn_tt_tt_1,345,English,USA,PG,175000000,2015,150,6.8,2.35,20000
Color,Roland Joffé,10,109,596,283,Alice Englert,622,0,Action|Adventure|Romance|Sci-Fi,Tamsin Egerton,The Lovers ,2138,1982,Bipasha Basu,3,1770s|british india|great barrier reef|india|ring,http://www.imdb.com/title/tt1321869/?ref_=fn_tt_tt_1,15,English,Australia,R,27000000,2015,525,4.5,N/A,677
Color,Shinji Higuchi,1,120,28,12,Shin'ya Tsukamoto,544,78053145,Action|Adventure|Drama|Horror|Sci-Fi,Mark Chinnery,Godzilla Resurgence ,374,699,Atsuko Maeda,0,blood|godzilla|monster|sequel,http://www.imdb.com/title/tt4262980/?ref_=fn_tt_tt_1,13,Japanese,Japanese,N/A,15000000,2016,106,8.2,2.35,0
Color,Peter Jackson,645,169,0,773,Adam Brown,5000,1021103568,Adventure|Fantasy,Aidan Turner,The Hobbit: An Unexpected Journey ,637246,9152,James Nesbitt,N/A,dragon|dwarf|hobbit|orc|wizard,http://www.imdb.com/title/tt0903624/?ref_=fn_tt_tt_1,1367,English,USA,PG-13,250000000,2012,972,7.9,2.35,166000
Color,Michael Mann,21,132,N/A,184,Philip Michael Thomas,982,163800000,Action|Crime|Drama|Mystery|Thriller,Don Johnson,Miami Vice             ,16769,1687,John Diehl,2,cult tv|detective|drugs|police|undercover,http://www.imdb.com/title/tt0086759/?ref_=fn_tt_tt_1,74,English,USA,TV-14,135000000,2006,321,7.5,1.33,0
Color,David Yates,1,130,0,159,Dave Legeno,10000,1341511219,Action|Fantasy,Rupert Grint,Harry Potter and the Deathly Hallows: Part II ,381,11036,Ralph Ineson,1,N/A,http://www.imdb.com/title/tt1680310/?ref_=fn_tt_tt_1,2,English,UK,N/A,125000000,2011,570,7.5,N/A,40
Color,Shinji Higuchi,1,120,28,12,Shin'ya Tsukamoto,544,78053145,Action|Adventure|Drama|Horror|Sci-Fi,Mark Chinnery,Godzilla Resurgence ,374,699,Atsuko Maeda,0,blood|godzilla|monster|sequel,http://www.imdb.com/title/tt4262980/?ref_=fn_tt_tt_1,13,Japanese,Japanese,N/A,15000000,2016,106,8.2,2.35,0
Color,David Yates,4,130,0,1000,Toby Jones,10000,1341511219,Fantasy,Rupert Grint,Harry Potter and the Deathly Hallows: Part I ,252,14719,Alfred Enoch,1,N/A,http://www.imdb.com/title/tt1571403/?ref_=fn_tt_tt_1,2,English,UK,N/A,125000000,2011,2000,6.4,N/A,25
Color,Thomas Langmann,33,116,0,141,Santiago Segura,936,131856927,Adventure|Comedy|Family|Fantasy,Alain Delon,Asterix at the Olympic Games ,20567,1609,Vanessa Hessler,1,1st century b.c.|lightsaber|local blockbuster|magical potion|potion,http://www.imdb.com/title/tt0463872/?ref_=fn_tt_tt_1,36,French,France,N/A,97250400,2008,276,5.1,2.35,291
