title,director,budget,gross,language,country,year,runtime,actors
The Wailing,Na Hong-jin,10951000,49851770,ko,KR,2016,156,"Kwak Do-won, Hwang Jung-min, Chun Woo-hee"
Barbecue,Eric Lavaine,6000000,14348529,fr,FR,2014,98,"Lambert Wilson, Franck Dubosc, Florence Foresti"
Heist,David Mamet,35000000,28500000,en,US,2001,107,"Gene Hackman, Danny DeVito, Delroy Lindo"
Red Riding: In the Year of Our Lord 1974,Julian Jarrold,9000000,0,en,GB,2009,102,"Andrew Garfield, Warren Clarke, Sean Bean"
The Girl on the Train,Tate Taylor,45000000,173200000,en,US,2016,112,"Emily Blunt, Rebecca Ferguson, Haley Bennett"
Veronika Decides to Die,Emily Young,9000000,1709178,en,US,2009,103,"Sarah Michelle Gellar, David Thewlis, Jonathan Tucker"
"Ultramarines: A Warhammer 40,000 Movie",Martyn Pick,0,0,en,US,2010,76,"Terence Stamp, John Hurt, Sean Pertwee"
The I Inside,Roland Suso Richter,8800000,72962,en,US,2004,90,"Ryan Phillippe, Sarah Polley, Piper Perabo"
Beneath Hill 60,Jeremy Sims,7347125,0,en,AU,2010,122,"Brendan Cowell, Harrison Gilbertson, Steve Le Marquand"
Polisse,Maïwenn,0,20374201,fr,FR,2011,123,"Frédéric Pierrot, JoeyStarr, Nicolas Duvauchelle"
Star Wars: The Clone Wars,Dave Filoni,8500000,68282844,en,US,2008,98,"Matt Lanter, Ashley Eckstein, James Arnold Taylor"
The Lost Boys,Joel Schumacher,8500000,32222567,en,US,1987,97,"Jason Patric, Corey Haim, Dianne Wiest"
Barbarella,Roger Vadim,9000000,2500000,en,FR,1968,98,"Jane Fonda, John Phillip Law, Anita Pallenberg"
Shipwrecked,Frodo Kuipers,0,0,en,US,2005,5,
The Namesake,Mira Nair,12000000,20354321,en,US,2006,122,"Kal Penn, Irrfan Khan, Tabu"
The Haunting in Connecticut 2: Ghosts of Georgia,Tom Elkins,8000000,5127434,en,US,2013,101,"Chad Michael Murray, Katee Sackhoff, Abigail Spencer"
Silmido,Kang Woo-suk,8000000,0,ko,KR,2003,135,"Sul Kyung-gu, Ahn Sung-ki, Huh Joon-ho"
All Is Lost,J.C. Chandor,9000000,6108720,en,US,2013,106,Robert Redford
Namastey London,Vipul Amrutlal Shah,0,0,hi,IN,2007,131,"Akshay Kumar, Katrina Kaif, Rishi Kapoor"
The Wind That Shakes the Barley,Ken Loach,6500000,22900000,en,IE,2006,127,"Cillian Murphy, Pádraic Delaney, Liam Cunningham"
Yeh Jawaani Hai Deewani,Ayan Mukerji,7700000,46000000,hi,IN,2013,160,"Ranbir Kapoor, Deepika Padukone, Aditya Roy Kapur"
Quo Vadis,Mervyn LeRoy,7623000,21037000,en,US,1951,171,"Robert Taylor, Deborah Kerr, Leo Genn"
